registrySchemaVersion	2
id	title	subject	category	topic	environmentFamily	executorKind	inputs	outputs	widget	widgetSizes	compact	offlinePolicy	liveDataPolicy	historyPolicy	schemaVersion	aliases
finance-tip	Tip	FINANCE	Finance	Everyday Finance	FinanceTool	FORMULA	bill:NUMBER;tip:NUMBER;total:NUMBER?	total:NUMBER;bill:NUMBER;tip:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
gcd-lcm	GCD / LCM	MATH	Arithmetic	Integers	FormulaSolver	MATH_UTILITY	values:DATASET	gcd:NUMBER;lcm:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	gcd|greatest common divisor|lcm|least common multiple
geometric-sequence	Geometric Sequence	MATH	Algebra	Sequences	FormulaSolver	MATH_UTILITY	first:NUMBER;ratio:NUMBER;n:INTEGER	nth:NUMBER;sum:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	geometric progression|gp
geometry-arc-length	Arc Length	GEOMETRY	Geometry	Circle	GeometryTool	FORMULA	L:NUMBER[m];theta:NUMBER[°];r:NUMBER[m]	L:NUMBER;theta:NUMBER;r:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-circle-area	Circle Area	GEOMETRY	Geometry	Circle	GeometryTool	FORMULA	A:NUMBER[m²];r:NUMBER[m]	A:NUMBER;r:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
geometry-circle-circumference	Circle Circumference	GEOMETRY	Geometry	Circle	GeometryTool	FORMULA	C:NUMBER[m];r:NUMBER[m]	C:NUMBER;r:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-cone-volume	Cone Volume	GEOMETRY	Geometry	Cone	GeometryTool	FORMULA	V:NUMBER[m³];r:NUMBER[m];h:NUMBER[m]	V:NUMBER;r:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-cube	Cube	GEOMETRY	Geometry	Cube	GeometryTool	FORMULA	V:NUMBER[m³];s:NUMBER[m]	V:NUMBER;s:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-cuboid-volume	Cuboid Volume	GEOMETRY	Geometry	Cuboid	GeometryTool	FORMULA	V:NUMBER[m³];l:NUMBER[m];w:NUMBER[m];h:NUMBER[m]	V:NUMBER;l:NUMBER;w:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-cylinder-volume	Cylinder Volume	GEOMETRY	Geometry	Cylinder	GeometryTool	FORMULA	V:NUMBER[m³];r:NUMBER[m];h:NUMBER[m]	V:NUMBER;r:NUMBER;h:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
geometry-ellipse-area	Ellipse Area	GEOMETRY	Geometry	Ellipse	GeometryTool	FORMULA	A:NUMBER[m²];a:NUMBER[m];b:NUMBER[m]	A:NUMBER;a:NUMBER;b:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-heron-area	Heron's Formula	GEOMETRY	Geometry	Triangle	GeometryTool	FORMULA	a:NUMBER[m];b:NUMBER[m];c:NUMBER[m];A:NUMBER[m²]	A:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	heron
geometry-parallelogram-area	Parallelogram Area	GEOMETRY	Geometry	Parallelogram	GeometryTool	FORMULA	A:NUMBER[m²];b:NUMBER[m];h:NUMBER[m]	A:NUMBER;b:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
