subject	toolCount	formulaToolCount	solveTargetCount	categories	educationLevels
Math	31	5	15	Algebra|Arithmetic|Calculus|Complex Numbers|Graphing|Linear Algebra|Math Expansion|Probability|Scientific	GENERAL
Physics	115	115	366	Advanced Physics|Grade 10 Physics|Grade 11 Physics|Grade 8 Physics|Grade 9 Physics|Physics	ADVANCED|COLLEGE_INTRO|GENERAL|GRADE_10|GRADE_11|GRADE_8|GRADE_9
Geometry	33	29	80	Coordinate Geometry|Geometry|Geometry Expansion|Triangle	GENERAL
Chemistry	22	19	56	Amount of Substance|Chemistry|Chemistry Expansion|Composition	GENERAL
Statistics	20	6	21	Descriptive Statistics|Statistics Expansion	GENERAL
Finance	21	16	50	Everyday Finance|Finance|Finance Expansion|Loans	GENERAL
Computer	5	3	10	Computer Expansion|Programmer	GENERAL
Date & Time	10	2	4	Date & Time Expansion|Date / Time Expansion|Dates	GENERAL
Text / Language	3	1	3	Text|Text Expansion	GENERAL
